"Isotonic_Crystalloid","-4.82 (-25.438, 15.798)","-0.82 (-21.045, 19.405)"
" 4.82 (-15.798, 25.438)","Natural_Colloid"," 4.00 ( -0.004,  8.004)"
" 0.82 (-19.405, 21.045)","-4.00 ( -8.004,  0.004)","Synthetic_Colloid"
