"Combination","0.894 (0.507, 1.577)","0.822 (0.589, 1.147)","1.158 (0.676, 1.985)","1.194 (0.641, 2.223)"
"1.119 (0.634, 1.974)","Hypertonic_Crystalloid","0.919 (0.535, 1.581)","1.296 (0.666, 2.522)","1.335 (0.690, 2.583)"
"1.217 (0.872, 1.699)","1.088 (0.632, 1.871)","Isotonic_Crystalloid","1.410 (0.918, 2.164)","1.453 (0.841, 2.507)"
"0.863 (0.504, 1.479)","0.772 (0.397, 1.501)","0.709 (0.462, 1.089)","Natural_Colloid","1.030 (0.521, 2.035)"
"0.838 (0.450, 1.561)","0.749 (0.387, 1.448)","0.688 (0.399, 1.188)","0.971 (0.491, 1.918)","Synthetic_Colloid"
