"Combination","-1.09 (-2.497,  0.317)","-2.59 (-4.404, -0.776)"
" 1.09 (-0.317,  2.497)","Isotonic_Crystalloid","-1.50 (-2.644, -0.356)"
" 2.59 ( 0.776,  4.404)"," 1.50 ( 0.356,  2.644)","Natural_Colloid"
