"Isotonic_Crystalloid"," 0.000 ( -6.697,  6.697)","-3.617 ( -8.321,  1.087)"
" 0.000 ( -6.697,  6.697)","Natural_Colloid","-3.617 (-11.801,  4.567)"
" 3.617 ( -1.087,  8.321)"," 3.617 ( -4.567, 11.801)","Synthetic_Colloid"
