"","V1","V2","V3","V4","V5"
"1","Combination","3.25 ( -4.94; 11.44)","-1.56 ( -7.93;  4.80)",".","."
"2","1.54 ( -5.37;  8.44)","Hypertonic Crystalloid","1.12 (-10.03; 12.27)",".","."
"3","-0.53 ( -6.31;  5.25)","-2.06 ( -9.66;  5.53)","Isotonic Crystalloid","0.61 ( -3.58;  4.81)","-2.81 ( -7.41;  1.79)"
"4","1.22 ( -5.84;  8.29)","-0.31 ( -8.92;  8.30)","1.75 ( -2.31;  5.82)","Natural Colloid","-8.33 (-14.45; -2.20)"
"5","-3.76 (-11.02;  3.51)","-5.29 (-14.07;  3.48)","-3.23 ( -7.63;  1.17)","-4.98 (-10.00;  0.03)","Synthetic Colloid"
