"Isotonic_Crystalloid"," 0.000 ( -6.960,  6.960)","-0.981 ( -7.078,  5.116)"
" 0.000 ( -6.960,  6.960)","Natural_Colloid","-0.981 (-10.233,  8.271)"
" 0.981 ( -5.116,  7.078)"," 0.981 ( -8.271, 10.233)","Synthetic_Colloid"
