"Isotonic_Crystalloid","-6.000 (-20.433,  8.433)","-6.535 (-14.307,  1.238)"
" 6.000 ( -8.433, 20.433)","Natural_Colloid","-0.535 (-16.928, 15.858)"
" 6.535 ( -1.238, 14.307)"," 0.535 (-15.858, 16.928)","Synthetic_Colloid"
